,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
6678483,0.00179174638735,0.0257793435836,0.0221452778794,0.0131821703248,4.60591344014e-08,0.00673389150863,0.000129011635459,0.067536554832,0.00544423574539,0.00262541672002,4.60591344015e-08,4.60591344014e-08,0.519284545042,0.0699132061671,0.255361099008,0.0025655398453,0.000304036346184,4.60591344015e-08,4.60591344014e-08,0.00720369467953
8594206,0.110870242789,0.159606105745,2.02391457461e-07,2.02391457461e-07,2.02391457461e-07,2.02391457461e-07,0.363130955369,0.010484079888,0.0100995361188,0.00678031621641,0.0183166292917,0.00285392194166,0.0788316750727,0.0272420925658,0.0385962533293,0.110991677663,2.02391457461e-07,2.02391457466e-07,0.0621950972693,2.02391457461e-07
1973399,0.00652463143674,0.491324115627,2.55857865838e-07,0.0378672200019,2.55857865838e-07,2.55857865838e-07,0.00227739086383,0.000460800016375,0.00023052793712,2.55857865838e-07,0.0008957583883,2.55857865838e-07,0.0471292747453,0.0825400033773,0.0416539164164,0.00790626391227,0.000384042656623,0.0227460201309,2.55857865838e-07,0.258058499342
7073700,0.02471021749,0.358797573679,3.60202001282e-07,3.60202001282e-07,3.60202001282e-07,3.60202001282e-07,0.00144116820713,0.00853714763239,3.60202001282e-07,3.60202001282e-07,3.60202001282e-07,3.60202001282e-07,0.0745621744674,0.166521745395,0.231934428828,0.00583563262277,3.60202001282e-07,3.60202001282e-07,3.60202001282e-07,0.127655949456
9027155,5.45428761549e-07,0.000327802685691,5.45428761549e-07,5.45428761549e-07,5.45428761549e-07,5.45428761549e-07,0.0524707922898,5.45428761549e-07,0.0526344209183,0.0374169584711,0.534302560243,0.00796380534738,5.45428761549e-07,5.45428761549e-07,5.45428761549e-07,5.45428761561e-07,0.000273259809536,5.45428761561e-07,0.230662368688,0.0839420318312
1253669,0.0202340418406,0.268732557101,0.00223297014892,2.79086382817e-07,2.79086382817e-07,2.79086382817e-07,0.142501786153,2.79086382817e-07,0.00170270602157,2.79086382817e-07,0.00044681729889,2.79086382817e-07,2.79086382817e-07,2.79086382823e-07,2.79086382823e-07,2.79086382823e-07,0.0387374690214,2.79086382823e-07,0.486057123401,0.0393514590636
8687750,0.00268029708779,0.0243082047571,0.62397823957,0.010802860691,7.445062881e-08,0.0882166245276,7.445062881e-08,0.0212929542903,0.00438521648754,0.00030532202875,7.44506288116e-08,0.00187623029664,0.00466068381414,0.108370409746,0.101811309348,7.44506288099e-08,7.44506288099e-08,7.44506288099e-08,7.44506288099e-08,0.00731112619977
8559970,0.0263327477993,0.0873697351281,0.000756753378334,0.0207899117094,1.64475848366e-07,0.10682722799,1.64475848366e-07,0.0127305951394,0.0146385149805,0.000954124396374,1.64475848366e-07,1.64475848366e-07,0.00547721022645,0.177518947618,0.315448394058,0.00217124567429,0.00450680272109,1.64475848366e-07,0.00690815010724,0.217568816695
1271587,0.0209648367965,0.355407565826,2.10911729223e-07,0.0249721596517,2.10911729223e-07,0.0121909088608,0.0261743565083,0.000801675482777,0.0345475521585,2.10911729223e-07,0.00767739785545,2.10911729223e-07,0.00499881889432,0.0370995840821,2.10911729223e-07,0.0109676208313,0.000126757949263,0.00124459011415,0.0307722322054,0.432052888225
7119613,0.0243283343148,0.496395389392,2.85876009857e-07,0.00162977913219,2.85876009857e-07,2.85876009857e-07,0.00537475486132,2.85876009857e-07,0.00909114298946,2.85876009857e-07,0.00809057695496,0.00254458236374,0.00383102440809,0.0250430243395,0.015952167226,0.00188706754107,2.85876009857e-07,0.0256433639602,0.00914831819143,0.371038759069
